idx,sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
262.0,It represents the overall energy content of the system at any given point during the ride.,P6_07_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
569.0,To have more energy the height of the initial drop must be high.,P6_06_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
569.0,To have more energy the height of the initial drop must be high.,P6_06_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
38.0,E1: The science behind why my current roller coaster design will be exciting and will make it to the end of the ride without stopping.,P5_04_17_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
61.0,The law of conservation of energy is how much energy you need to go around the entire roller coaster without using your own energy.,P5_04_17_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
61.0,The law of conservation of energy is how much energy you need to go around the entire roller coaster without using your own energy.,P5_04_17_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
202.0,"This process continues as the coaster goes through the various hills, drops, and loops of the ride.",P1_07_04_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
202.0,"This process continues as the coaster goes through the various hills, drops, and loops of the ride.",P1_07_04_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
395.0,The car changes because when the car goes down the initial drop PE and KE stays the same.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
298.0,"E1R: Hey, Mr. Gonzales I've created a roller coaster design for you.",P1_02_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
355.0,Initial drop is important while making a roller coaster.,P5_04_16_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
28.0,"That means that the energy never goes away, there is always energy.",P5_03_07_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
408.0,My suggestion for your roller coaster would be to make its drop height high.,P6_04_04_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
152.0,"In my trial, when the car weighed 44 kg, the total energy was 1723 J.",P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
152.0,"In my trial, when the car weighed 44 kg, the total energy was 1723 J.",P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
811.0,"The relationship between mass, Pe and KE is very intrestiong.",P1_07_14_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
403.0,I also tried it with a higher mass with 60g and it was 2938 for PE and KE was 2908.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
469.0,E1R: The drop height of my rollercoaster will be 5 meters.,P1_05_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
707.0,During the start of the cart the PE was 1955 and when it began to go down the hill the PE amount would switch.,P1_05_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
460.0,Why?,P1_05_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
103.0,"So that shows that the relationship between release height and PE is when the release height is higher, the total energy is higher.",P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
103.0,"So that shows that the relationship between release height and PE is when the release height is higher, the total energy is higher.",P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
234.0,"First, we need to make sure we have a safe initial drop.",P6_03_16_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
234.0,"First, we need to make sure we have a safe initial drop.",P6_03_16_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
523.0,E1R: the past few days I have been doing lots of test notes and data to find the best roller coaster that live up to expectation.,P6_06_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
351.0,"But, if your cart weighs 60kg it will have a total energy of 2,937.",P5_04_04_22-23,,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,For this to happen you need the initial drop to be higher than the hill.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,This is called energy transformation this is when one type of energy in this case PE is converted into KE as the cart starts to go downward.,P5_03_07_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Because when you have a heavier cart mass the amount of TE will go up.,P5_03_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,For this to happen you need the initial drop to be higher than the hill.,P5_03_07_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"This is when one type of energy, in this case PE, is converted into KE as the cart starts to go downward.",P5_03_07_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Also it shows the Law of Conservation of Energy states that energy can not be created or destroyed.,P5_03_07_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,Because when you have a heavier cart mass the amount of TE will go up.,P5_03_07_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,This is because the higher it is the more PE it has at the top and the less KE at the top.,P5_04_17_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,As the car moves down the hill the PE goes up and the KE goes down.,P5_04_17_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The relationship between the initial drop height and the hill height is, the hill height can't be the same height or taller than the initial drop height to be able to make it over the hill.",P5_04_17_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,The bigger the mass is the more KE you will have at the bottom of the initial drop.,P5_04_17_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,This is because the higher the initial drop is the more PE it has at the top and the less KE at the top.,P5_04_17_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The relationship between PE, KE, and total energy is PE plus KE equals TE, 1472 plus 972 equals 2446.",P5_04_17_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,As the car moves down the hill the PE goes up and the KE goes down.,P5_04_17_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The relationship between the initial drop height and the hill height is, the hill height can't be the same height or taller than the initial drop height to be able to make it over the hill.",P5_04_17_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Having a higher initial drop gives the roller coaster more total energy which makes it faster.,P5_06_03_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,When the roller coaster car moves down the hill it converts its potential energy into kinetic energy.,P5_06_03_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The kinetic energy and potential energy combined make the total energy.,P5_06_03_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,The law of conservation of energy shows us that energy cannot be created or destroyed.,P5_06_03_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,This means that if you add a hill to the roller coaster it has to be shorter than the initial drop.,P5_06_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Having a higher initial drop gives the roller coaster more total energy which makes it faster.,P5_06_03_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,When the roller coaster car moves down the hill it converts its potential energy into kinetic energy.,P5_06_03_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The kinetic energy and potential energy combined make the total energy.,P5_06_03_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,The law of conservation of energy shows us that energy cannot be created or destroyed.,P5_06_03_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,This means that if you add a hill to the roller coaster the hill has to be shorter than the initial drop.,P5_06_03_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"So on the roller coaster the Gonzales family builds, add a hill that is very very close to the initial drop height but just a little bit shorter.",P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Having a cart with more mass will also help the roller coaster have more total energy.,P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"If there is a hill on the roller coaster track, the hill needs to be shorter then the initial drop of the roller coaster.",P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"When the initial drop height was higher, the more total energy it had.",P6_04_01_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The amount of KE and PE will ALWAYS = the amount of total energy no matter where you are in the roller coaster.,P6_04_01_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,The Law of Conservation of Energy says that energy can not be created or destroyed so the amount of total energy at the top will be the same of energy at the bottom.,P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"But as the roller coaster went down, the energy switched to KE.",P6_04_01_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"At the initial drop in my trial when the drop was 4 m, the potential energy was 1642 J, at the bottom of the hill it all converted over to KE minus 1 J.",P6_04_01_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"When the car weighs more, the more KE and PE the roller coaster is going to have.",P6_04_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"Then, it has enough energy to make it over the hill.",P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,Having a cart with more mass will also help the roller coaster have more total energy.,P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"If there is a hill on the roller coaster track, the hill needs to be shorter then the initial drop of the roller coaster.",P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"When the initial drop height was higher, the more total energy it had.",P6_04_01_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The amount of KE and PE will ALWAYS = the amount of total energy no matter where you are in the roller coaster.,P6_04_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"But, the 302 J of energy didn't just go away, it transferred to KE and the KE was 302 J.",P6_04_01_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The Law of Conservation of Energy says that energy can not be created or destroyed so the amount of total energy at the top will be the same of energy at the bottom.,P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"Energy is not destroyed during the ride, when the potential energy goes down in the ride the energy transfers to kinetic energy.",P6_04_01_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"When the car weighs more, the more KE and PE the roller coaster is going to have.",P6_04_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"The higher the initial drop the more PE it has at the top of initial drop, but it doesn't affect the KE at top of initial drop and that stays at 0.",P1_02_08_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Going down the initial drop, PE and KE transfer energy and once you get to the bottom of the drop most or all of the PE has transferred into KE.",P1_02_08_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Energy cannot be created or destroyed.,P1_02_08_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"The more mass a car has, the more PE it has at top of initial drop and KE at bottom of drop.",P1_02_08_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"The higher the initial drop the more PE it has at the top of initial drop, but it doesn't affect the KE at top of initial drop and that stays at 0.",P1_02_08_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Going down the initial drop, PE and KE transfer energy and once you get to the bottom of the drop most or all of the PE has transferred into KE.",P1_02_08_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Energy cannot be created or destroyed.,P1_02_08_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"The more mass a car has, the more PE it has at top of initial drop and KE at bottom of drop.",P1_02_08_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"As the coaster goes down the hill, the potential energy is converted into kinetic energy, the energy of motion.",P1_07_04_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Since more height is more potential energy.,P1_07_04_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"As the coaster goes down the hill, the potential energy is converted into kinetic energy, the energy of motion.",P1_07_04_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Total energy will not change throughout the ride in a friction less world.,P1_07_04_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,Energy cannot be created or destroyed so the energy can't just disappear rather it converts into a different energy.,P1_07_04_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,Let's say the coaster car was in the middle of the initial drop the KE and PE would both be around 977.5 J because the PE is transferring over to the KE.,P6_03_16_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,So the equation would be PE plus KE equals total energy.,P6_03_16_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,Our initial drop will be 5.00m so we cannot have anything equal to or over that or it will not go over.,P6_03_16_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"At the end of the coaster, there will be no PE and all KE.",P6_03_16_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Furthermore, the law of conservation of energy states ""Energy can not be created or destroyed.""",P6_03_16_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,The greater the mass of the coaster car the greater the total energy the car has to get to the end of the track.,P6_03_16_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,Also The greater the mass of the coaster car the greater the total energy the car has to get to the end of the track.,P6_03_16_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,Let's say the coaster car was in the middle of the initial drop the KE and PE would both be around 977.5 J because the PE is transferring over to the KE.,P6_03_16_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,So the equation would be PE plus KE equals total energy.,P6_03_16_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,Our initial drop will be 5.00m so we cannot have anything equal to or over that or it will not go over.,P6_03_16_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,At the top of the hill the PE is 1995 J and the KE should be at 0 J. Theoretically this means as the coaster car goes down the hill the PE will transfer over to KE making it equal around the middle of the hill.,P6_03_16_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Furthermore, the law of conservation of energy states ""Energy can not be created or destroyed.""",P6_03_16_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,If the initial drop height is 5.00 the hill height cannot be the same or love it or it will not be able to get over but where we still have enough energy to get over the loop after the hill.,P6_03_16_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,The greater the mass of the coaster car the greater the total energy the car has to get to the end of the track.,P6_03_16_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,Also The greater the mass of the coaster car the greater the total energy the car has to get to the end of the track.,P6_03_16_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"Also, The total energy of a system, including a roller coaster, is the sum of its potential and kinetic energies.",P6_07_15_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"If increase the initial drop height, the total energy will increase too.",P6_07_15_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The potential energy converts into kinetic energy as the car goes down the hill.,P6_07_15_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The law of conservation of energy principle ensures that the total energy of the roller coaster remains constant throughout the ride, neglecting any energy losses due to friction or other external factors.",P6_07_15_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"The more mass the car has, the more energy the car will have.",P6_07_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,Following that your hill shouldn't be taller than your initial drop a the start because then the car wont be able to make it over.,P1_01_03_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,As the car goes down and comes to the stop PE goes all the way to 0 meanwhile KE goes up to a higher number.,P1_01_03_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The PE and KE depend on the height of the drop because the more the height is the more the PE will be a the top of the ride and the more the KE will be at the bottom of the ride.,P1_01_03_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The more height there is the more potential energy you'll have, which would make you car have a faster speed.",P1_01_03_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The more height there is the more potential energy will be at the top.,P1_01_03_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The initial drop height will have to be higher than the hill.,P1_02_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,The higher the initial drop it will create more potential energy than if the drop was low.,P1_02_12_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,This means that while the car is sitting at the initial drop it will have PE and when it makes it to the bottom of the drop it will have transformed into KE.,P1_02_12_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,During the ride the energy will not be destroyed nor created it will only be converted into thermal and sound.,P1_02_12_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,The more mass the car carries the more energy it will have and it will conserve it.,P1_02_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,The potential energy of an object is directly proportional to its height above the zero position.,P1_07_16_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Additionally, on my roller coaster design when the height of the drop was 2 meters, the potential energy was 1173 Joules, and kinetic energy was 0 Joules, but when the roller coaster went down the track potential and kinetic switched.",P1_07_16_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Kinetic energy was 0 Joules, but when the roller coaster went down the track potential and kinetic switched.",P1_07_16_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The total energy in a system is simply the sum of its internal, kinetic, and potential energies.",P1_07_16_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"The Energy Transformation and Law of Conservation of Energy are 'energy can neither be created nor destroyed, it can only be transformed from one form to another.",P1_07_16_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"Here is how, the law of conservation of energy states that energy can't be destroyed nor made.",P5_04_04_22-23,,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
