sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
E1: The drop height of my roller coster is going to be 5 meters.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because the more height the car has the more potential energy.,P1_06_26_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example, when my drop height was 2 meters the potential energy was 977 joules.",P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When I increased the drop height to 3 meters the potential energy increased 489 joules.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the car got to the bottom of the drop, the kinetic energy was greater the more height it had at the begining.",P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Kinetic energy and Potential energy add up to the total amount of energy.,P1_06_26_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
The conservation of energy law states that energy cannot be created or distroyed.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"At the top of drop the potential energy has the total amount of energy, but as the car goes down the drop it tranfers into kinetic energy.",P1_06_26_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Once it is at the very bottom, potential energy has 0 joules and kinetic energy has the total amount because kinetic energy is involved with velocity.",P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Potential energy is based on three things, one of them is height.",P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The greater the height the more potential energy.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the car starts 3 meters tall the potenial energy is 1466 joules.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
If you put a hill that is 4 meters tall then there will simply not be enough to get over the hill.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The energy can't be created or distroyed, the car only has enough to get up 3 meters.",P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Also the more mass the car has the more energy because potential energy is height x mass x gravity.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
The greater the mass the greater the energy.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My roller coster will have an initial drop of 5 meters and will have a hill right after that is only 2 meters high.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The car will make if over easily expecially because the mass is 50 kg.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"After the hill the car will be able to go farther will hills, loops, ect.",P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So it is really fin and fast but it is still safe.,P1_06_26_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: The drop height of my roller coster is going to be 5 meters.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This is because potential energy and height have a direct relationship making it so when one of them increases, the other one does to.",P1_06_26_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example, when my drop height was 2 meters the potential energy was 977 joules.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When I increased the drop height to 3 meters the potential energy increased 489 joules.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the car got to the bottom of the drop, the kinetic energy was greater the more height it had at the begining.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Kinetic energy and Potential energy add up to the total amount of energy, total energy.",P1_06_26_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
"At any point of the track, adding PE and KE will give you the total energy.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The conservation of energy law states that energy cannot be created or distroyed.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"At the top of drop the potential energy has the total amount of energy, but as the car goes down the drop it tranfers into kinetic energy.",P1_06_26_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Once it is at the very bottom, potential energy has 0 joules and kinetic energy has the total amount because kinetic energy is involved with velocity.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Potential energy is based on three things, one of them is height.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The greater the height the more potential energy.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the car starts 3 meters tall the potenial energy is 1466 joules.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
If you put a hill that is 4 meters tall then there will simply not be enough to get over the hill.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"The car will obly have enough energy to get up three meters, energy can't be created so the car won't get over the hill.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Also the more mass the car has the more energy because potential energy is height x mass x gravity.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
The greater the mass the greater the energy.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My roller coster will have an initial drop of 5 meters and will have a hill right after that being only 2 meters high.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The car will make if over easily expecially because the mass is 50 kg.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"After the hill the car will be able to go farther will hills, loops, ect.",P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So it is really fin and fast but it is still safe.,P1_06_26_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: I think the should use the highest intial drop of 5 meters and 4 meters for the hill height.,P1_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I also think they should use a higher number for the car mass like 60.,P1_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The 5 meter start height will give the car enough energy to not only finish but also do it faster than it would if it were shorter, the car mass being 60 will also ad more velosity and make the ride more exciting.",P1_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the hill height being 4 meters will also add more excitment while also being shorter than the intial drop allowing the car to make it the whole ride.,P1_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
In all of the expriiments we did the drop height increasing increased the potential energy and the same with the car mass.,P1_07_10_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"E1R: I think the initial drop should be 5 meters, the hill height should be 4 meters and the car mass be 60.",P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
