sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
E1: We are going to gave are roller coaster drop height of 5 meters doing so has the perfect amount of potential energy and just enough potential energy at the bottom.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We calculated the perfect amount of potential energy and kinetic energy to make the ride safe and fun at the same time.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also got the perfect amount of energy at the bottom of the coaster.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So then it can make it up the 4 meter tall hill.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We got rid of friction.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The relationship between the drop and the initial drop is 1 meter.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Are roller coaster is going to have a mass of 45kg to make the coaster perfectly safe and fun.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"We have made this coaster to be the most fun and safe roller coaster but also make it to the perfect amount between friction, potential energy and kinetic energy.",P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
so then it is perfectly safe and fun.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have made this roller coaster to be the safest and the most fun roller coaster so then it is fun and reliable and safe so then we can prevent the bad things that may happen during the roller coaster.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Also then we can make the roller coaster fun reliable and extremely safe.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have done many test and problem solving to make this coaster the most fun and safe reliable roller coaster you can ride.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
we also made this roller coaster having many twist and turns to make it fun and safe.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We are constantly adding to ideas and things we can changes to make this ride enjoyable.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also are adding many different things to make the ride scary but extremely fun and safe.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have calculated the perfect amount of potential energy and kinetic energy but with a little bit of friction.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have added many different twist and turns but are concerned that we may not have enough speed to get through the entire roller coaster.,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We are constantly changing and modifying are roller coaster to be the safest it could possibly be so then we do not have problems and the people can enjoy the coaster,P1_01_01_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: We are going to gave are roller coaster drop height of 5 meters doing so has the perfect amount of potential energy and just enough potential energy at the bottom.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We calculated the perfect amount of potential energy and kinetic energy to make the ride safe and fun at the same time.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also got the perfect amount of energy at the bottom of the coaster.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So then it can make it up the 4 meter tall hill.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We got rid of friction.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The relationship between the drop and the initial drop is 1 meter.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Are roller coaster is going to have a mass of 45 kg to make the coaster perfectly safe and fun.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"We have made this coaster to be the most fun and safe roller coaster but also make it to the perfect amount between friction, potential energy and kinetic energy.",P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
so then it is perfectly safe and fun.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have made this roller coaster to be the safest and the most fun roller coaster so then it is fun and reliable and safe so then we can prevent the bad things that may happen during the roller coaster.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Also then we can make the roller coaster fun reliable and extremely safe.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have done many test and problem solving to make this coaster the most fun and safe reliable roller coaster you can ride.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
we also made this roller coaster having many twist and turns to make it fun and safe.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We are constantly adding to ideas and things we can changes to make this ride enjoyable.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also are adding many different things to make the ride scary but extremely fun and safe.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have calculated the perfect amount of potential energy and kinetic energy but with a little bit of friction.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We have added many different twist and turns but are concerned that we may not have enough speed to get through the entire roller coaster.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We are constantly changing and modifying are roller coaster to be the safest it could possibly be so then we do not have problems and the people can enjoy the coaster.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the total amount of energy is 1956 of the coaster the kinetic energy and potential energy will always be the same but just little changes.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
the amount of energy is constant.,P1_01_01_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
the energy transformation does not change between the potential energy and kinetic energy.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
at the start of the roller coaster the potential energy is the same as the kinetic energy at the end or very not very different at the end.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The relationship between the initial drop will always make it over the hill if the hill is shorter then the initial drop.,P1_01_01_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
E1: We are starting our rollercoaster drop height at 5m.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The reason for this is that we think it will be most exciting for the riders because it was the highest option and also because you will gain the most speed from dropping from that height than you would on anything lower.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The drop height relates to pe because pe would be greater if higher and same with ke and the bottom.,P1_01_09_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The drop height relates to the kinetic energy at the bottom.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
After the cart went through the roller coaster at the bottom there would be a lot less potential energy and a lot of kinetic energy.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because the object went through a ton of speed to get to the bottom.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So like for our roller coaster since it drops from a high height it has lots of potential energy at the start and then has a bunch of kinetic energy at the bottom.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Potential energy is the energy inside the object.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Kinetic energy is the energy of a moving object so all rollercoasters at the start have 0 kinetic energy because the cart is not moving but has a lot of potential energy.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
But once the cart goes through the rollercoaster it gets flip-flopped and kinetic energy becomes bigger number by a lot because the cart just was moving very fast and a lot.,P1_01_09_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total energy is kinetic energy and potential energy together and the total energy is usually around the same number as it was at the top of the drop and at the bottom.,P1_01_09_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
While the cart goes down the drop the potential starts to decrease very quickly and the kinetic energy number increases really quickly because the cart is moving and not just sitting still.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The Law of Conservation of Energy states that energy cannot be created or destroyed.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"So, for example, energy throughout a roller coaster is not getting destroyed it's either switching or the friction is turning into mechanical energy which turns into other forms of energy like heat+ thermal energy, and sound energy.",P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My group has our initial drop higher a couple of meters higher than the hill because if the drop was the same or shorter it would be risky and unsafe.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
It would also be less likely for the cart to make it over the hill because it doesn't have enough energy/kinetic energy to get all the way up and down the hill.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
Whenever something has more mass it will have more energy.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Yesterday when we were doing trials with different car masses my group noticed that the higher the mass was the more energy.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The quicker the cart went through the rollercoaster.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also noticed that when the mass was lower it sometimes wouldn't make it up hills or get all the way through.,P1_01_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: We are starting our rollercoaster drop height at 5m.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The reason for this is that we think it will be most exciting for the riders because it was the highest option and also because you will gain the most speed from dropping from that height than you would on anything lower.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The drop height relates to pe because pe would be greater if higher and the same with ke and the bottom.,P1_01_09_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The drop height relates to the kinetic energy at the bottom.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
After the cart went through the roller coaster at the bottom there would be a lot less potential energy and a lot of kinetic energy.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because the object went through a ton of speed to get to the bottom.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
So like for our roller coaster since it drops from a high height it has lots of potential energy at the start and then has a bunch of kinetic energy at the bottom.,P1_01_09_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
The Total energy is the potential and kinetic energy added together throughout the whole experiment.,P1_01_09_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
"For example, my initial drop height data had 977J of pe and 0J of ke.",P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total energy was then 977J because that was them added together.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Potential energy is the energy inside the object.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Kinetic energy is the energy of a moving object so all rollercoasters at the start have 0 kinetic energy because the cart is not moving but has a lot of potential energy.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
But once the cart goes through the rollercoaster it gets flip-flopped and kinetic energy becomes bigger number by a lot because the cart just was moving very fast and a lot.,P1_01_09_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Total energy
While the cart goes down the drop the potential starts to decrease very quickly and the kinetic energy number increases really quickly because the cart is moving and not just sitting still.",P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The Law of Conservation of Energy states that energy cannot be created or destroyed.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"So, for example, energy throughout a roller coaster is not getting destroyed it's either switching or the friction is turning into mechanical energy which turns into other forms of energy like heat+ thermal energy, and sound energy.",P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My group has our initial drop higher a couple of meters higher than the hill because if the drop was the same or shorter it would be risky and unsafe.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
It would also be less likely for the cart to make it over the hill because it doesn't have enough energy/kinetic energy to get all the way up and down the hill.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Whenever something has more mass it will have more energy.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Yesterday when we were doing trials with different car masses my group noticed that the higher the mass was the more energy.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The quicker the cart went through the rollercoaster.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also noticed that when the mass was lower it sometimes wouldn't make it up hills or get all the way through.,P1_01_09_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: Our initial drop would have to be bigger than our hill height so the coaster could make it to the end.,P1_02_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
If the hill height is taller than the initial drop it would not make it to the end and it would be unsafe to our riders.,P1_02_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
